batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
701675,0.229,0.226,0.222,0.234,748,0.248,0.224,0.223,nathan church,STL
677951,0.228,0.192,0.309,0.218,1239,0.235,0.31,0.258,bobby witt,KC
693307,0.228,0.171,0.327,0.25,1118,0.272,0.275,0.237,dillon dingler,DET
670541,0.228,0.199,0.325,0.175,1333,0.188,0.188,0.28,yordan álvarez,HOU
621043,0.227,0.158,0.345,0.212,629,0.241,0.306,0.267,carlos correa,HOU
663837,0.227,0.175,0.25,0.204,820,0.284,0.331,0.297,matt vierling,DET
542303,0.225,0.155,0.352,0.253,983,0.233,0.213,0.221,marcell ozuna,PIT
672640,0.224,0.175,0.255,0.229,1148,0.271,0.239,0.227,otto lopez,MIA
669707,0.223,0.189,0.338,0.206,564,0.262,0.244,0.241,jared triolo,PIT
605170,0.223,0.169,0.351,0.222,785,0.234,0.219,0.264,víctor caratini,MIN
663538,0.223,0.181,0.266,0.23,1240,0.37,0.311,0.279,nico hoerner,CHC
682668,0.222,0.178,0.325,0.223,501,0.261,0.249,0.264,luisangel acuña,CWS
514888,0.221,0.164,0.371,0.196,843,0.243,0.221,0.255,josé altuve,HOU
656811,0.219,0.185,0.296,0.228,1030,0.235,0.226,0.239,ryan o'hearn,PIT
664702,0.219,0.191,0.328,0.238,508,0.238,0.297,0.307,myles straw,TOR
672515,0.217,0.151,0.293,0.257,844,0.219,0.206,0.221,gabriel moreno,AZ
672695,0.214,0.134,0.343,0.222,1244,0.378,0.301,0.241,geraldo perdomo,AZ
694384,0.213,0.196,0.293,0.233,993,0.246,0.225,0.243,nolan schanuel,LAA
681082,0.213,0.152,0.266,0.258,1079,0.19,0.248,0.255,bryson stott,PHI
669364,0.213,0.141,0.359,0.239,1261,0.269,0.188,0.225,xavier edwards,MIA
691406,0.212,0.17,0.321,0.168,1251,0.308,0.277,0.252,junior caminero,TB
672820,0.211,0.154,0.265,0.177,484,0.171,0.196,0.22,lenyn sosa,TOR
545121,0.21,0.184,0.135,0.187,903,0.224,0.243,0.254,ildemaro vargas,AZ
701807,0.209,0.185,0.266,0.236,1191,0.243,0.282,0.239,carson benge,NYM
678489,0.208,0.149,0.316,0.237,566,0.243,0.249,0.243,jorge barrosa,AZ
665877,0.206,0.143,0.34,0.212,510,0.228,0.219,0.242,josé fermín,STL
624428,0.205,0.149,0.255,0.157,469,0.189,0.177,0.209,adam frazier,LAA
571448,0.204,0.146,0.308,0.188,1093,0.206,0.181,0.267,nolan arenado,AZ
680757,0.203,0.12,0.362,0.181,1182,0.176,0.174,0.2,steven kwan,CLE
657757,0.197,0.12,0.28,0.196,1037,0.246,0.183,0.212,gavin sheets,SD
701350,0.193,0.111,0.331,0.226,602,0.212,0.201,0.212,roman anthony,BOS
