batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
814439,0.301,0.205,0.428,0.308,498,0.267,0.277,0.326,ryan waldschmidt,AZ
666969,0.3,0.25,0.373,0.306,1152,0.293,0.302,0.318,adolis garcía,PHI
666182,0.3,0.263,0.289,0.28,1225,0.403,0.396,0.397,bo bichette,NYM
607043,0.299,0.265,0.355,0.327,1236,0.317,0.342,0.341,brandon nimmo,TEX
622761,0.299,0.235,0.329,0.289,458,0.294,0.324,0.331,jorge mateo,ATL
691023,0.299,0.276,0.359,0.326,1120,0.412,0.446,0.412,jordan walker,STL
643376,0.299,0.255,0.391,0.329,616,0.32,0.356,0.335,danny jansen,TEX
671732,0.298,0.278,0.373,0.356,852,0.259,0.27,0.328,lawrence butler,ATH
641343,0.298,0.256,0.415,0.297,1077,0.463,0.371,0.373,jake bauers,MIL
668715,0.298,0.225,0.426,0.311,1145,0.322,0.32,0.331,spencer steer,CIN
592206,0.297,0.249,0.363,0.241,525,0.448,0.387,0.363,nick castellanos,SD
665161,0.297,0.237,0.416,0.3,589,0.323,0.312,0.344,jeremy peña,HOU
663656,0.296,0.249,0.399,0.293,1245,0.342,0.371,0.357,kyle tucker,LAD
609280,0.296,0.298,0.273,0.288,808,0.382,0.341,0.345,miguel andújar,SD
694671,0.296,0.279,0.388,0.289,582,0.399,0.383,0.351,wyatt langford,TEX
702222,0.295,0.278,0.298,0.33,870,0.277,0.337,0.343,justin crawford,PHI
695657,0.295,0.253,0.409,0.275,1157,0.29,0.302,0.319,colson montgomery,CWS
592663,0.294,0.257,0.348,0.343,741,0.387,0.321,0.301,j. t. realmuto,PHI
642715,0.294,0.264,0.357,0.278,1208,0.27,0.328,0.313,willy adames,SF
656484,0.294,0.288,0.323,0.319,606,0.35,0.378,0.349,tristan gray,MIN
656305,0.293,0.219,0.369,0.304,1227,0.4,0.413,0.397,matt chapman,SF
547180,0.292,0.257,0.389,0.296,1200,0.469,0.416,0.395,bryce harper,PHI
669357,0.292,0.239,0.388,0.298,1006,0.395,0.386,0.314,nolan gorman,STL
681807,0.292,0.208,0.37,0.321,552,0.269,0.232,0.276,david fry,CLE
686469,0.291,0.235,0.357,0.289,1201,0.327,0.361,0.347,vinnie pasquantino,KC
663604,0.291,0.203,0.307,0.248,471,0.435,0.418,0.335,brandon lockridge,MIL
695600,0.291,0.26,0.36,0.273,1090,0.214,0.264,0.272,carter jensen,KC
663886,0.291,0.247,0.348,0.297,891,0.38,0.356,0.347,tyler stephenson,CIN
678662,0.29,0.3,0.27,0.252,1029,0.275,0.312,0.309,ezequiel tovar,COL
696030,0.29,0.199,0.319,0.29,442,0.431,0.363,0.347,alejandro osuna,TEX
643446,0.289,0.309,0.278,0.295,921,0.298,0.248,0.282,jeff mcneil,ATH
683953,0.289,0.214,0.403,0.325,731,0.281,0.283,0.293,travis bazzana,CLE
664728,0.289,0.255,0.356,0.312,714,0.317,0.31,0.329,kyle isbel,KC
683083,0.288,0.233,0.389,0.357,1026,0.191,0.3,0.287,nasim nuñez,WSH
543760,0.288,0.266,0.345,0.281,1110,0.378,0.333,0.343,marcus semien,NYM
665966,0.288,0.22,0.32,0.317,614,0.257,0.314,0.321,carlos narváez,BOS
665489,0.288,0.237,0.416,0.291,1079,0.375,0.376,0.38,vladimir guerrero,TOR
665487,0.288,0.245,0.399,0.318,1146,0.36,0.395,0.33,fernando tatís,SD
606192,0.288,0.232,0.35,0.324,924,0.176,0.252,0.292,teoscar hernández,LAD
687221,0.288,0.264,0.349,0.265,594,0.288,0.303,0.36,dalton rushing,LAD
545361,0.288,0.178,0.467,0.268,1487,0.264,0.266,0.278,mike trout,LAA
669394,0.288,0.212,0.374,0.31,1105,0.312,0.306,0.329,jake burger,TEX
666160,0.288,0.285,0.303,0.336,633,0.377,0.312,0.323,mickey moniak,COL
691718,0.287,0.265,0.34,0.285,1208,0.275,0.264,0.344,pete crow-armstrong,CHC
593428,0.287,0.185,0.394,0.29,1099,0.453,0.378,0.355,xander bogaerts,SD
701358,0.287,0.268,0.359,0.256,1148,0.38,0.308,0.295,cam smith,HOU
662139,0.286,0.265,0.284,0.231,978,0.325,0.29,0.313,daulton varsho,TOR
669004,0.286,0.195,0.391,0.278,524,0.273,0.286,0.289,mj melendez,NYM
671218,0.286,0.239,0.362,0.298,755,0.234,0.28,0.308,heliot ramos,SF
657656,0.286,0.236,0.363,0.335,927,0.267,0.3,0.292,ramón laureano,SD
518692,0.285,0.251,0.356,0.304,1364,0.269,0.274,0.309,freddie freeman,LAD
642708,0.285,0.277,0.258,0.326,456,0.321,0.318,0.364,amed rosario,NYY
671976,0.285,0.291,0.29,0.276,790,0.314,0.3,0.302,tristan peters,CWS
672275,0.285,0.272,0.353,0.331,629,0.394,0.367,0.361,patrick bailey,SF
687263,0.284,0.265,0.366,0.26,1344,0.295,0.313,0.333,zach neto,LAA
667670,0.284,0.239,0.384,0.274,785,0.283,0.348,0.37,brent rooker,ATH
664761,0.283,0.261,0.364,0.286,1056,0.369,0.335,0.341,alec bohm,PHI
682177,0.282,0.22,0.321,0.275,825,0.316,0.348,0.328,daniel schneemann,CLE
